Number,Hymn,Time - As Traditionally Sung + Intro,Popularity
1,The Morning Breaks,3:55,
2,The Spirit of God,5:55,
3,Now Let Us Rejoice,3:29,
4,Truth Eternal,2:03,
5,High on the Mountain Top,2:33,
6,Redeemer of Israel,2:45,
7,"Israel, Israel, God Is Calling",3:55,
8,Awake and Arise,2:33,
9,"Come, Rejoice",2:34,
10,"Come, Sing to the Lord",2:18,
11,What Was Witnessed in the Heavens?,2:20,
12,Twas Witnessed in the Morning Sky,,
13,An Angel from on High,2:45,
14,Sweet Is the Peace the Gospel Brings,1:42,
15,I Saw a Mighty Angel Fly,,
16,What Glorious Scenes Mine Eyes Behold,3:43,
17,"Awake, Ye Saints of God, Awake!",3:11,
18,The Voice of God Again Is Heard,2:06,
19,"We Thank Thee, O God, for a Prophet",2:47,
20,"God of Power, God of Right",1:57,
21,"Come, Listen to a Prophet's Voice",3:13,
22,We Listen to a Prophet's Voice,2:57,
23,We Ever Pray for Thee,3:53,
24,God Bless Our Prophet Dear,2:10,
25,Now We'll Sing with One Accord,3:28,
26,Joseph Smith's First Prayer,3:37,
27,Praise to the Man,3:37,
28,"Saints, Behold How Great Jehovah",1:40,
29,A Poor Wayfaring Man of Grief,2:55,
30,"Come, Come, Ye Saints",3:53,
31,"O God, Our Help in Ages Past",2:31,
32,The Happy Day at Last Has Come,2:29,
33,Our Mountain Home So Dear,3:01,
34,O Ye Mountains High,4:11,
35,For the Strength of the Hills,3:29,
36,"They, the Builders of the Nation",2:53,
37,"The Wintry Day, Descending to Its Close",5:17,
38,"Come, All Ye Saints of Zion",3:30,
39,O Saints of Zion,2:31,
40,"Arise, O Glorious Zion",3:21,
41,Let Zion in Her Beauty Rise,2:28,
42,Hail to the Brightness of Zion's Glad Morning!,2:38,
43,Zion Stands with Hills Surrounded,2:56,
44,"Beautiful Zion, Built Above",3:58,
45,Lead Me into Life Eternal,1:35,
46,Glorious Things of Thee Are Spoken,2:58,
47,We Will Sing of Zion,2:05,
48,Glorious Things Are Sung of Zion,3:24,
49,Adam-andi-Ahman,2:26,
50,"Come, Thou Glorious Day of Promise",2:36,
51,"Sons of Michael, He Approaches",2:44,
52,The Day Dawn Is Breaking,4:14,
53,Let Earth's Inhabitants Rejoice,2:06,
54,"Behold, the Mountain of the Lord",,
55,"Lo, the Mighty God Appearing!",3:14,
56,Softly Beams the Sacred Dawning,2:43,
57,We're Not Ashamed to Own Our Lord,2:38,
58,"Come, Ye Children of the Lord",2:18,
59,"Come, O Thou King of Kings",3:03,
60,Battle Hymn of the Republic,2:19,
61,Raise Your Voices to the Lord,1:28,
62,All Creatures of Our God and King,,
63,Great King of Heaven,1:24,
64,On This Day of Joy and Gladness,3:20,
65,"Come, All Ye Saints Who Dwell on Earth",2:48,
66,"Rejoice, the Lord Is King!",2:19,
67,Glory to God on High,1:54,
68,A Mighty Fortress is Our God,1:26,
69,"All Glory, laud, and Honor",2:36,
70,Sing Praise to Him,3:10,
71,With Songs of Praise,2:40,
72,"Praise to the Lord, the Almighty",3:06,
73,Praise the Lord with Heart and Voice,2:08,
74,Praise Ye the Lord,2:33,
75,In Hymns of Praise,3:22,
76,"God of Our Fathers, We Come unto Thee",3:51,
77,Great Is the Lord,2:09,
78,"God of Our Fathers, Whose Almighty Hand",2:19,
79,With All the Power of Heart and Tongue,1:58,
80,"God of Our Fathers, Known of Old",2:37,
81,"Press Forward, Saints",2:27,
82,For All the Saints,,
83,"Guide Us, O Thou Great Jehovah",2:23,
84,Faith of Our Fathers,2:43,
85,How Firm a Foundation,2:42,
86,How Great Thou Art,,
87,God Is Love,2:59,
88,"Great God, Attend While Zion Sings",2:28,
89,The Lord Is My Light,3:39,
90,From All That Dwell Below the Skies,2:40,
91,"Father, Thy Children to Thee Now Raise",1:51,
92,For the Beauty of the Earth,2:13,
93,Prayer of Thanksgiving,2:01,
94,"Come, Ye Thankful People",1:51,
95,Now Thank We All Our God,2:18,
96,"Dearest Children, God Is Near You",2:50,
97,"Lead, Kindly Light",3:12,
98,I Need Thee Every Hour,4:07,
99,"Nearer, Dear Savior, to Thee",3:55,
100,"Nearer, My God, To Thee",3:12,
101,Guide Me to Thee,4:28,
102,"Jesus, Lover of My Soul",2:06,
103,"Precious Savior, Dear Redeemer",2:26,
104,"Jesus, Savior, Pilot Me",2:10,
105,"Master, the Tempest Is Raging",4:13,
106,God Speed the Right,1:47,
107,"Lord, Accept Our True Devotion",3:00,
108,The Lord Is My Shepherd,3:12,
109,The Lord My Pasture Will Prepare,2:23,
110,Cast Thy Burden upon the Lord,1:24,
111,Rock of Ages,1:58,
112,"Savior, Redeemer of My Soul",2:56,
113,Our Savior's Love,2:55,
114,Come Unto Him,3:25,
115,"Come, Ye Disconsolate",2:34,
116,"Come, Follow Me",2:48,
117,Come unto Jesus,3:37,
118,Ye Simple Souls Who Stray,4:55,
119,"Come, We That Love the Lord",2:04,
120,Lean on My Ample Arm,2:42,
121,"I'm a Pilgrim, I'm a Stranger",2:44,
122,Though Deepening Trials,3:15,
123,"Oh, May My Soul Commune with Thee",2:38,
124,"Be Still, My Soul",,
125,How Gentle God's Commands,2:27,
126,"How Long, O Lord Most Holy and True",2:59,
127,Does the Journey Seem Long?,2:40,
128,When Faith Endures,1:16,
129,Where Can I Turn for Peace?,2:59,
130,Be Thou Humble,1:56,
131,More Holiness Give Me,2:49,
132,God Is in His Holy Temple,1:50,
133,Father in Heaven,2:41,
134,I Believe in Christ,5:00,
135,My Redeemer Lives,1:39,
136,I Know That My Redeemer Lives,4:19,
137,Testimony,2:13,
138,"Bless Our Fast, We Pray",3:02,
139,In Fasting We Approach Thee,2:31,
140,Did you Think to Pray?,3:04,
141,"Jesus, the Very Thought of Thee",2:30,
142,Sweet Hour of Prayer,2:58,
143,Let the Holy Spirit Guide,,
144,Secret Prayer,3:28,
145,Prayer Is the Soul's Sincere Desire,2:20,
146,Gently Raise the Sacred Strain,3:55,
147,Sweet Is the Work,2:39,
148,Sabbath Day,2:29,
149,As the Dew from Heaven Distilling,3:24,
150,O Thou Kind and Gracious Father,2:24,
151,"We Meet, Dear Lord",2:00,
152,God Be with You Till We Meet Again,3:15,
153,"Lord, We Ask Thee Ere We Part",2:16,
154,"Father, This Hour Has Been One of Joy",0:55,
155,We Have Partaken of Thy Love,2:15,
156,Sing We Now at Parting,2:47,
157,"Thy Spirit, Lord, Has Stirred Our Souls",1:39,
158,"Before Thee, Lord, I Bow My Head",4:04,
159,Now the Day Is Over,1:36,
